train_loss,val_loss,train_acc,val_accc
2786.2629872373373,299.1413957356104,0.9064860518858011,0.8825136811355424
176.1853380945254,149.34918265420882,0.9139708096526081,0.9487705119972021
145.0357251481023,126.4509449067663,0.9289289495510837,0.9557377253725229
129.56472410909666,118.05914125286165,0.9428178375775522,0.9696721488660802
21946.766631370876,1326.067510377644,0.8252912202868798,0.8660747016062502
183.32021511326778,186.3949911357275,0.8535581229327319,0.8939890916230249
188.08197308497907,158.74352444508037,0.872315516945055,0.8947176881826641
157.83675742975976,125.50336578035615,0.8926085383066088,0.9252732447587727
132.52149425540958,115.08489785116227,0.9123555577878512,0.9469945552570572
1510.4410844199358,167.701244045737,0.852750498066175,0.8653461042649108
279.946261008906,154.9248899991395,0.8757962708814269,0.9126594009295187
151.1347062821405,123.46091672136484,0.8982619189545654,0.929326068508169
2535.4264898037213,146.07945100961487,0.8861816563210525,0.909153025723546
2285201.416539278,592.7153879801432,0.8905382861604204,0.8943078517913818
567.8141229240549,325.29881465057207,0.877218147053798,0.9074226064760177
552.4580128841832,292.14427185892407,0.8881495332346891,0.9122495649942284
232.64271882932238,350.6546255476488,0.8919715371380534,0.9227686908075718
186.7968627477714,146.4835931496542,0.8945309143557172,0.9244535730184753
2455.7106671688693,209.5106645511148,0.8748407704629046,0.8781420968920807
192.1020884106402,158.31830756182228,0.8609291311498877,0.8939435541955499
